"ddg.call","return.used","return.node.id"
"gClust(gspecies,mt.l[[1]])",TRUE,25
"FUN(X[[i]],...)",FALSE,43
"FUN(X[[i]],...)",FALSE,58
"FUN(X[[i]],...)",FALSE,73
"ENM(do.call(rbind,groups),p)",TRUE,91
"FUN(X[[i]],...)",FALSE,94
"FUN(X[[i]],...)",FALSE,111
"FUN(X[[i]],...)",FALSE,126
"FUN(X[[i]],...)",FALSE,141
"ENM(do.call(rbind,groups),p)",TRUE,159
"FUN(X[[i]],...)",FALSE,162
"FUN(X[[i]],...)",FALSE,179
"FUN(X[[i]],...)",FALSE,194
"FUN(X[[i]],...)",FALSE,209
"ENM(do.call(rbind,groups),p)",TRUE,227
"FUN(X[[i]],...)",FALSE,230
